INF | 2025-10-06 17:39:51.263 [libtrx/game/shell/main.c:26:SDL_main] Starting TR2X 1.5
INF | 2025-10-06 17:39:52.121 [libtrx/game/savegame/common.c:490:Savegame_ApplyLogicToCurrentInfo] Applying game logic to level #13
INF | 2025-10-06 17:39:52.121 [libtrx/game/savegame/common.c:379:Savegame_ResetCurrentInfo] Resetting resume info for level #14
INF | 2025-10-06 17:39:52.121 [libtrx/game/savegame/common.c:490:Savegame_ApplyLogicToCurrentInfo] Applying game logic to level #14
INF | 2025-10-06 17:39:52.121 [libtrx/game/savegame/common.c:379:Savegame_ResetCurrentInfo] Resetting resume info for level #15
INF | 2025-10-06 17:39:52.121 [libtrx/game/savegame/common.c:490:Savegame_ApplyLogicToCurrentInfo] Applying game logic to level #15
INF | 2025-10-06 17:39:52.121 [libtrx/game/savegame/common.c:379:Savegame_ResetCurrentInfo] Resetting resume info for level #16
INF | 2025-10-06 17:39:52.121 [libtrx/game/savegame/common.c:490:Savegame_ApplyLogicToCurrentInfo] Applying game logic to level #16
INF | 2025-10-06 17:39:52.121 [libtrx/game/savegame/common.c:379:Savegame_ResetCurrentInfo] Resetting resume info for level #17
INF | 2025-10-06 17:39:52.121 [libtrx/game/savegame/common.c:490:Savegame_ApplyLogicToCurrentInfo] Applying game logic to level #17
INF | 2025-10-06 17:39:52.121 [libtrx/game/savegame/common.c:379:Savegame_ResetCurrentInfo] Resetting resume info for level #18
INF | 2025-10-06 17:39:52.121 [libtrx/game/savegame/common.c:490:Savegame_ApplyLogicToCurrentInfo] Applying game logic to level #18
DBG | 2025-10-06 17:39:52.124 [libtrx/game/savegame/common.c:664:Savegame_ScanSavedGames] took 2.72 ms
DBG | 2025-10-06 17:39:52.127 [game/level.c:225:M_GuessLayout] took 0.02 ms
INF | 2025-10-06 17:39:52.127 [libtrx/game/level/common.c:1133:Level_ReadItems] items: 105
DBG | 2025-10-06 17:39:52.127 [libtrx/game/level/common.c:1158:Level_ReadItems] took 0.39 ms
INF | 2025-10-06 17:39:52.127 [game/stats.c:63:Stats_CalculateStats] Recalculating stats
INF | 2025-10-06 17:39:52.127 [game/stats.c:115:Stats_ReserveSecretBit] Reserving bit 0 for secret 190
INF | 2025-10-06 17:39:52.127 [game/stats.c:115:Stats_ReserveSecretBit] Reserving bit 1 for secret 191
INF | 2025-10-06 17:39:52.128 [game/stats.c:115:Stats_ReserveSecretBit] Reserving bit 2 for secret 192
ERR | 2025-10-06 17:39:52.129 [libtrx/virtual_file.c:14:VFile_CreateFromPath] Can't open file data/boat.tr2
DBG | 2025-10-06 17:39:52.134 [game/level.c:225:M_GuessLayout] took 0.04 ms
INF | 2025-10-06 17:39:52.134 [libtrx/game/level/common.c:1133:Level_ReadItems] items: 125
DBG | 2025-10-06 17:39:52.134 [libtrx/game/level/common.c:1158:Level_ReadItems] took 0.19 ms
INF | 2025-10-06 17:39:52.134 [game/stats.c:63:Stats_CalculateStats] Recalculating stats
INF | 2025-10-06 17:39:52.134 [game/stats.c:115:Stats_ReserveSecretBit] Reserving bit 0 for secret 190
INF | 2025-10-06 17:39:52.134 [game/stats.c:115:Stats_ReserveSecretBit] Reserving bit 1 for secret 191
INF | 2025-10-06 17:39:52.134 [game/stats.c:115:Stats_ReserveSecretBit] Reserving bit 2 for secret 192
DBG | 2025-10-06 17:39:52.140 [game/level.c:225:M_GuessLayout] took 0.05 ms
INF | 2025-10-06 17:39:52.140 [libtrx/game/level/common.c:1133:Level_ReadItems] items: 206
DBG | 2025-10-06 17:39:52.140 [libtrx/game/level/common.c:1158:Level_ReadItems] took 0.21 ms
INF | 2025-10-06 17:39:52.140 [game/stats.c:63:Stats_CalculateStats] Recalculating stats
INF | 2025-10-06 17:39:52.140 [game/stats.c:115:Stats_ReserveSecretBit] Reserving bit 0 for secret 190
INF | 2025-10-06 17:39:52.140 [game/stats.c:115:Stats_ReserveSecretBit] Reserving bit 1 for secret 192
INF | 2025-10-06 17:39:52.140 [game/stats.c:115:Stats_ReserveSecretBit] Reserving bit 2 for secret 192
DBG | 2025-10-06 17:39:52.145 [game/level.c:225:M_GuessLayout] took 0.02 ms
INF | 2025-10-06 17:39:52.145 [libtrx/game/level/common.c:1133:Level_ReadItems] items: 106
DBG | 2025-10-06 17:39:52.146 [libtrx/game/level/common.c:1158:Level_ReadItems] took 0.15 ms
INF | 2025-10-06 17:39:52.146 [game/stats.c:63:Stats_CalculateStats] Recalculating stats
INF | 2025-10-06 17:39:52.146 [game/stats.c:115:Stats_ReserveSecretBit] Reserving bit 0 for secret 190
INF | 2025-10-06 17:39:52.146 [game/stats.c:115:Stats_ReserveSecretBit] Reserving bit 1 for secret 191
INF | 2025-10-06 17:39:52.146 [game/stats.c:115:Stats_ReserveSecretBit] Reserving bit 2 for secret 192
DBG | 2025-10-06 17:39:52.150 [game/level.c:225:M_GuessLayout] took 0.03 ms
INF | 2025-10-06 17:39:52.150 [libtrx/game/level/common.c:1133:Level_ReadItems] items: 123
DBG | 2025-10-06 17:39:52.151 [libtrx/game/level/common.c:1158:Level_ReadItems] took 0.17 ms
INF | 2025-10-06 17:39:52.151 [game/stats.c:63:Stats_CalculateStats] Recalculating stats
INF | 2025-10-06 17:39:52.151 [game/stats.c:115:Stats_ReserveSecretBit] Reserving bit 0 for secret 190
INF | 2025-10-06 17:39:52.151 [game/stats.c:115:Stats_ReserveSecretBit] Reserving bit 1 for secret 191
INF | 2025-10-06 17:39:52.151 [game/stats.c:115:Stats_ReserveSecretBit] Reserving bit 2 for secret 192
DBG | 2025-10-06 17:39:52.155 [game/level.c:225:M_GuessLayout] took 0.02 ms
INF | 2025-10-06 17:39:52.155 [libtrx/game/level/common.c:1133:Level_ReadItems] items: 66
DBG | 2025-10-06 17:39:52.155 [libtrx/game/level/common.c:1158:Level_ReadItems] took 0.30 ms
INF | 2025-10-06 17:39:52.155 [game/stats.c:63:Stats_CalculateStats] Recalculating stats
INF | 2025-10-06 17:39:52.155 [game/stats.c:115:Stats_ReserveSecretBit] Reserving bit 0 for secret 190
INF | 2025-10-06 17:39:52.155 [game/stats.c:115:Stats_ReserveSecretBit] Reserving bit 1 for secret 191
INF | 2025-10-06 17:39:52.155 [game/stats.c:115:Stats_ReserveSecretBit] Reserving bit 2 for secret 192
DBG | 2025-10-06 17:39:52.163 [game/level.c:225:M_GuessLayout] took 0.02 ms
INF | 2025-10-06 17:39:52.163 [libtrx/game/level/common.c:1133:Level_ReadItems] items: 108
DBG | 2025-10-06 17:39:52.163 [libtrx/game/level/common.c:1158:Level_ReadItems] took 0.16 ms
INF | 2025-10-06 17:39:52.163 [game/stats.c:63:Stats_CalculateStats] Recalculating stats
INF | 2025-10-06 17:39:52.163 [game/stats.c:115:Stats_ReserveSecretBit] Reserving bit 0 for secret 191
INF | 2025-10-06 17:39:52.163 [game/stats.c:115:Stats_ReserveSecretBit] Reserving bit 1 for secret 192
ERR | 2025-10-06 17:39:52.165 [libtrx/virtual_file.c:14:VFile_CreateFromPath] Can't open file data/living.tr2
ERR | 2025-10-06 17:39:52.167 [libtrx/virtual_file.c:14:VFile_CreateFromPath] Can't open file data/deck.tr2
ERR | 2025-10-06 17:39:52.168 [libtrx/virtual_file.c:14:VFile_CreateFromPath] Can't open file data/skidoo.tr2
ERR | 2025-10-06 17:39:52.170 [libtrx/virtual_file.c:14:VFile_CreateFromPath] Can't open file data/monastry.tr2
ERR | 2025-10-06 17:39:52.171 [libtrx/virtual_file.c:14:VFile_CreateFromPath] Can't open file data/catacomb.tr2
ERR | 2025-10-06 17:39:52.173 [libtrx/virtual_file.c:14:VFile_CreateFromPath] Can't open file data/icecave.tr2
ERR | 2025-10-06 17:39:52.174 [libtrx/virtual_file.c:14:VFile_CreateFromPath] Can't open file data/emprtomb.tr2
ERR | 2025-10-06 17:39:52.176 [libtrx/virtual_file.c:14:VFile_CreateFromPath] Can't open file data/floating.tr2
ERR | 2025-10-06 17:39:52.177 [libtrx/virtual_file.c:14:VFile_CreateFromPath] Can't open file data/xian.tr2
ERR | 2025-10-06 17:39:52.178 [libtrx/virtual_file.c:14:VFile_CreateFromPath] Can't open file data/house.tr2
DBG | 2025-10-06 17:39:52.178 [game/level.c:493:Level_Init] took 54.46 ms
DBG | 2025-10-06 17:39:52.178 [libtrx/game/game_flow/sequencer.c:43:GF_InterpretSequence] running sequence for level=0 type=0 seq_ctx=0
WRN | 2025-10-06 17:39:52.178 [libtrx/game/savegame/common.c:343:Savegame_GetCurrentInfo] Warning: unable to get resume info for level 0 (type=title)
DBG | 2025-10-06 17:39:52.178 [game/level.c:406:Level_Initialise] num=0 type=0
WRN | 2025-10-06 17:39:52.178 [libtrx/game/savegame/common.c:343:Savegame_GetCurrentInfo] Warning: unable to get resume info for level 0 (type=title)
INF | 2025-10-06 17:39:52.180 [libtrx/game/inject/common.c:199:M_ReadVFile] data/injections/font.bin queued for injection
INF | 2025-10-06 17:39:52.181 [libtrx/game/inject/common.c:199:M_ReadVFile] data/injections/pda_model.bin queued for injection
INF | 2025-10-06 17:39:52.182 [libtrx/game/inject/common.c:199:M_ReadVFile] data/injections/title_textures.bin queued for injection
DBG | 2025-10-06 17:39:52.182 [libtrx/game/inject/common.c:277:Inject_InitLevel] took 3.24 ms
DBG | 2025-10-06 17:39:52.182 [game/level.c:225:M_GuessLayout] took 0.00 ms
DBG | 2025-10-06 17:39:52.182 [libtrx/game/level/common.c:422:Level_ReadPalettes] took 0.00 ms
INF | 2025-10-06 17:39:52.182 [libtrx/game/level/common.c:431:Level_ReadTexturePages] texture pages: 3
DBG | 2025-10-06 17:39:52.183 [libtrx/game/level/common.c:468:Level_ReadTexturePages] took 0.97 ms
INF | 2025-10-06 17:39:52.183 [libtrx/game/level/common.c:476:Level_ReadRooms] rooms: 2
DBG | 2025-10-06 17:39:52.183 [libtrx/game/level/common.c:595:Level_ReadRooms] took 0.03 ms
INF | 2025-10-06 17:39:52.183 [libtrx/game/level/common.c:602:Level_ReadObjectMeshes] object mesh data: 3180
INF | 2025-10-06 17:39:52.183 [libtrx/game/level/common.c:608:Level_ReadObjectMeshes] object mesh offsets: 12
INF | 2025-10-06 17:39:52.183 [libtrx/game/level/common.c:692:Level_AppendObjectMeshes] 12 unique meshes constructed
DBG | 2025-10-06 17:39:52.183 [libtrx/game/level/common.c:623:Level_ReadObjectMeshes] took 0.07 ms
INF | 2025-10-06 17:39:52.184 [libtrx/game/level/common.c:702:Level_ReadAnims] anims: 6
DBG | 2025-10-06 17:39:52.184 [libtrx/game/level/common.c:705:Level_ReadAnims] took 0.01 ms
INF | 2025-10-06 17:39:52.184 [libtrx/game/level/common.c:736:Level_ReadAnimChanges] anim changes: 1
DBG | 2025-10-06 17:39:52.184 [libtrx/game/level/common.c:740:Level_ReadAnimChanges] took 0.01 ms
INF | 2025-10-06 17:39:52.184 [libtrx/game/level/common.c:759:Level_ReadAnimRanges] anim ranges: 1
DBG | 2025-10-06 17:39:52.184 [libtrx/game/level/common.c:763:Level_ReadAnimRanges] took 0.01 ms
INF | 2025-10-06 17:39:52.184 [libtrx/game/level/common.c:783:Level_ReadAnimCommands] anim commands: 0
DBG | 2025-10-06 17:39:52.184 [libtrx/game/level/common.c:788:Level_ReadAnimCommands] took 0.01 ms
INF | 2025-10-06 17:39:52.184 [libtrx/game/level/common.c:809:Level_ReadAnimBones] anim bones: 6
DBG | 2025-10-06 17:39:52.184 [libtrx/game/level/common.c:812:Level_ReadAnimBones] took 0.12 ms
INF | 2025-10-06 17:39:52.184 [libtrx/game/level/common.c:835:Level_ReadAnimFrames] raw anim frames: 563
DBG | 2025-10-06 17:39:52.184 [libtrx/game/level/common.c:840:Level_ReadAnimFrames] took 0.02 ms
INF | 2025-10-06 17:39:52.184 [libtrx/game/level/common.c:863:Level_ReadObjects] objects: 6
DBG | 2025-10-06 17:39:52.184 [libtrx/game/level/common.c:882:Level_ReadObjects] took 0.01 ms
INF | 2025-10-06 17:39:52.184 [libtrx/game/level/common.c:889:Level_ReadStaticObjects] static objects: 0
DBG | 2025-10-06 17:39:52.184 [libtrx/game/level/common.c:910:Level_ReadStaticObjects] took 0.01 ms
INF | 2025-10-06 17:39:52.184 [libtrx/game/level/common.c:918:Level_ReadObjectTextures] object textures: 26
DBG | 2025-10-06 17:39:52.184 [libtrx/game/level/common.c:922:Level_ReadObjectTextures] took 0.02 ms
INF | 2025-10-06 17:39:52.184 [libtrx/game/level/common.c:946:Level_ReadSpriteTextures] sprite textures: 121
DBG | 2025-10-06 17:39:52.184 [libtrx/game/level/common.c:951:Level_ReadSpriteTextures] took 0.02 ms
DBG | 2025-10-06 17:39:52.184 [libtrx/game/level/common.c:981:Level_ReadSpriteSequences] sprite sequences: 5
DBG | 2025-10-06 17:39:52.184 [libtrx/game/level/common.c:1004:Level_ReadSpriteSequences] took 0.01 ms
DBG | 2025-10-06 17:39:52.184 [libtrx/game/level/common.c:1120:Level_ReadCamerasAndSinks] fixed cameras/sinks: 0
DBG | 2025-10-06 17:39:52.184 [libtrx/game/level/common.c:1126:Level_ReadCamerasAndSinks] took 0.01 ms
INF | 2025-10-06 17:39:52.184 [libtrx/game/level/common.c:1178:Level_ReadSoundSources] sound sources: 0
DBG | 2025-10-06 17:39:52.184 [libtrx/game/level/common.c:1184:Level_ReadSoundSources] took 0.01 ms
DBG | 2025-10-06 17:39:52.184 [libtrx/game/level/common.c:1044:Level_ReadPathingData] took 0.01 ms
INF | 2025-10-06 17:39:52.184 [libtrx/game/level/common.c:1055:Level_ReadAnimatedTextureRanges] animated texture ranges: 0
DBG | 2025-10-06 17:39:52.184 [libtrx/game/level/common.c:1075:Level_ReadAnimatedTextureRanges] took 0.02 ms
INF | 2025-10-06 17:39:52.184 [libtrx/game/level/common.c:1133:Level_ReadItems] items: 0
DBG | 2025-10-06 17:39:52.184 [libtrx/game/level/common.c:1158:Level_ReadItems] took 0.18 ms
DBG | 2025-10-06 17:39:52.184 [libtrx/game/level/common.c:1095:Level_ReadLightMap] took 0.02 ms
INF | 2025-10-06 17:39:52.184 [libtrx/game/level/common.c:1103:Level_ReadCinematicFrames] cinematic frames: 0
DBG | 2025-10-06 17:39:52.184 [libtrx/game/level/common.c:1113:Level_ReadCinematicFrames] took 0.01 ms
INF | 2025-10-06 17:39:52.184 [libtrx/game/level/common.c:1165:Level_ReadDemoData] demo buffer size: 0
DBG | 2025-10-06 17:39:52.184 [libtrx/game/level/common.c:1171:Level_ReadDemoData] took 0.01 ms
INF | 2025-10-06 17:39:52.184 [libtrx/game/level/common.c:1202:Level_ReadSamples] sample infos: 8
INF | 2025-10-06 17:39:52.184 [libtrx/game/level/common.c:1259:Level_ReadSamples] samples: 8
DBG | 2025-10-06 17:39:52.184 [libtrx/game/level/common.c:1269:Level_ReadSamples] took 0.04 ms
DBG | 2025-10-06 17:39:52.184 [game/level.c:358:M_LoadFromFile] took 2.66 ms
INF | 2025-10-06 17:39:52.186 [libtrx/game/level/common.c:692:Level_AppendObjectMeshes] 2 unique meshes constructed
DBG | 2025-10-06 17:39:52.186 [libtrx/game/inject/common.c:331:Inject_AllInjections] took 1.18 ms
INF | 2025-10-06 17:39:52.186 [libtrx/game/anims/frames.c:154:Anim_InitialiseFrames] 74 anim frames
DBG | 2025-10-06 17:39:52.186 [libtrx/game/anims/frames.c:204:Anim_LoadFrames] took 0.01 ms
DBG | 2025-10-06 17:39:52.186 [libtrx/game/anims/commands.c:69:Anim_LoadCommands] took 0.00 ms
DBG | 2025-10-06 17:39:52.187 [libtrx/game/level/common.c:1342:Level_LoadTexturePages] copied texture data: took 0.70 ms
DBG | 2025-10-06 17:39:52.189 [libtrx/game/level/common.c:1359:Level_LoadTexturePages] premultiplied alpha: took 3.05 ms
DBG | 2025-10-06 17:39:52.189 [libtrx/game/level/common.c:1363:Level_LoadTexturePages] took 3.28 ms
DBG | 2025-10-06 17:39:52.200 [game/level.c:247:M_InitialiseSoundEffects] Loading samples from C:\Users\Checkm8ra1n\Documents\Levels\Tomb-Raider-Levels-Open-Source\Complete Levels\TR2\Engine\data/main.sfx
DBG | 2025-10-06 17:39:52.201 [game/level.c:300:M_InitialiseSoundEffects] took 1.34 ms
DBG | 2025-10-06 17:39:52.201 [game/level.c:381:M_CompleteSetup] took 16.44 ms
DBG | 2025-10-06 17:39:52.201 [libtrx/game/inject/common.c:363:Inject_Cleanup] took 0.09 ms
DBG | 2025-10-06 17:39:52.201 [game/level.c:400:Level_Load] took 22.68 ms
DBG | 2025-10-06 17:39:52.201 [libtrx/game/game_string_table/common.c:70:M_ApplyLayer] applying layer: cfg/base_strings.json5
DBG | 2025-10-06 17:39:52.202 [libtrx/game/game_string_table/common.c:70:M_ApplyLayer] applying layer: cfg/tr2/strings.json5
DBG | 2025-10-06 17:39:52.202 [libtrx/game/game_string_table/common.c:70:M_ApplyLayer] applying layer: cfg/tr2/strings.json5
DBG | 2025-10-06 17:39:52.202 [libtrx/game/game_flow/sequencer.c:17:M_RunEvent] event type=display_picture(0) data=0x55e9268
INF | 2025-10-06 17:39:52.202 [libtrx/game/output/background.c:44:M_ScanCandidates] Searching for background images
INF | 2025-10-06 17:39:52.204 [libtrx/game/output/background.c:103:M_ScanCandidates] 1. data/images/3x2/legal_eu.webp (3:2)
INF | 2025-10-06 17:39:52.204 [libtrx/game/output/background.c:103:M_ScanCandidates] 2. data/images/4x3/legal_eu.webp (4:3)
INF | 2025-10-06 17:39:52.204 [libtrx/game/output/background.c:103:M_ScanCandidates] 3. data/images/legal_eu.webp (16:9)
INF | 2025-10-06 17:39:52.204 [libtrx/game/output/background.c:148:M_LoadCandidate] Loading background image from data/images/legal_eu.webp
DBG | 2025-10-06 17:39:52.279 [libtrx/game/shell/events.c:64:M_HandleWindowShown] 
DBG | 2025-10-06 17:39:54.020 [libtrx/game/game_flow/sequencer.c:29:M_RunEvent] event type=display_picture(0) data=0x55e9268 finished, result: action=noop, param=0
DBG | 2025-10-06 17:39:54.020 [libtrx/game/game_flow/sequencer.c:17:M_RunEvent] event type=play_fmv(3) data=0x0
DBG | 2025-10-06 17:39:54.028 [libtrx/engine/video.c:1908:Video_Open] Playing video: fmv/LOGO.RPL
ERR | 2025-10-06 17:39:54.029 [libtrx/engine/video.c:1910:Video_Open] Video does not exist: fmv/LOGO.RPL
DBG | 2025-10-06 17:39:54.029 [libtrx/game/game_flow/sequencer.c:29:M_RunEvent] event type=play_fmv(3) data=0x0 finished, result: action=noop, param=0
DBG | 2025-10-06 17:39:54.029 [libtrx/game/game_flow/sequencer.c:17:M_RunEvent] event type=play_fmv(3) data=0x1
DBG | 2025-10-06 17:39:54.038 [libtrx/engine/video.c:1908:Video_Open] Playing video: fmv/ANCIENT.RPL
ERR | 2025-10-06 17:39:54.039 [libtrx/engine/video.c:1910:Video_Open] Video does not exist: fmv/ANCIENT.RPL
DBG | 2025-10-06 17:39:54.039 [libtrx/game/game_flow/sequencer.c:29:M_RunEvent] event type=play_fmv(3) data=0x1 finished, result: action=noop, param=0
DBG | 2025-10-06 17:39:54.039 [libtrx/game/game_flow/sequencer.c:17:M_RunEvent] event type=exit_to_title(5) data=0x0
DBG | 2025-10-06 17:39:54.039 [libtrx/game/game_flow/sequencer.c:29:M_RunEvent] event type=exit_to_title(5) data=0x0 finished, result: action=exit_to_title, param=0
INF | 2025-10-06 17:39:54.039 [game/shell/common.c:116:Shell_Main] action=exit_to_title param=0
DBG | 2025-10-06 17:39:54.039 [libtrx/game/savegame/common.c:241:Savegame_UnbindSlot] Resetting the save slot
DBG | 2025-10-06 17:39:54.039 [libtrx/game/game_string_table/common.c:70:M_ApplyLayer] applying layer: cfg/base_strings.json5
DBG | 2025-10-06 17:39:54.039 [libtrx/game/game_string_table/common.c:70:M_ApplyLayer] applying layer: cfg/tr2/strings.json5
DBG | 2025-10-06 17:39:54.040 [libtrx/game/game_string_table/common.c:70:M_ApplyLayer] applying layer: cfg/tr2/strings.json5
DBG | 2025-10-06 17:39:54.040 [game/level.c:406:Level_Initialise] num=0 type=0
WRN | 2025-10-06 17:39:54.040 [libtrx/game/savegame/common.c:343:Savegame_GetCurrentInfo] Warning: unable to get resume info for level 0 (type=title)
INF | 2025-10-06 17:39:54.043 [libtrx/game/inject/common.c:199:M_ReadVFile] data/injections/font.bin queued for injection
INF | 2025-10-06 17:39:54.044 [libtrx/game/inject/common.c:199:M_ReadVFile] data/injections/pda_model.bin queued for injection
INF | 2025-10-06 17:39:54.044 [libtrx/game/inject/common.c:199:M_ReadVFile] data/injections/title_textures.bin queued for injection
DBG | 2025-10-06 17:39:54.044 [libtrx/game/inject/common.c:277:Inject_InitLevel] took 2.94 ms
DBG | 2025-10-06 17:39:54.045 [game/level.c:225:M_GuessLayout] took 0.00 ms
DBG | 2025-10-06 17:39:54.045 [libtrx/game/level/common.c:422:Level_ReadPalettes] took 0.00 ms
INF | 2025-10-06 17:39:54.045 [libtrx/game/level/common.c:431:Level_ReadTexturePages] texture pages: 3
DBG | 2025-10-06 17:39:54.046 [libtrx/game/level/common.c:468:Level_ReadTexturePages] took 0.89 ms
INF | 2025-10-06 17:39:54.046 [libtrx/game/level/common.c:476:Level_ReadRooms] rooms: 2
